Variable,Description,Source,
foodbev_mfg,"Number of food and beverage manufacturing establishments per 10,000 people",Derived from NAICS 311 data,
other_mfg,"Number of other manufacturing establishments per 10,000 people",Derived from NAICS data excluding 311,
broad_16,"Access to fixed advanced telecommunications, i.e., high-speed internet access",FCC data,
highway_km,Proximity to interstate highways,Derived from federal highway data,
pub_lib,"Number of public libraries per 100,000 people",Derived from NAICS 519120,
museums,"Number of museums per 100,000 people",Derived from NAICS 712110,
create_indus,"Number of creative industry businesses per 100,000 people",Derived from NAICS data,
create_jobs,Percentage of workers employed in the arts,Derived from NAICS 7111 and 7113–7115,
racial_div,Racial/ethnic diversity index based on six ethnic categories tracked by the U.S. Census,U.S. Census data,
owner_occupied,Number of owner-occupied units without a mortgage per capita,U.S. Census data,
deposits,Level of deposits to FDIC-insured institutions per capita,FDIC data,
localgovfin,County government cash and security holdings net of government debt per capita,Derived from local government financial reports,
ed_attain,"Percentage of the adult population with a bachelor’s, graduate, or professional degree",U.S. Census data,
health_outcomes,Z-scores that represent physical health with respect to today’s health,Derived from national health statistics,
health_factors,Z-scores that represent potential future health conditions,Derived from national health statistics,
food_secure,Percentage of the population defined as food secure,Derived from USDA data,
insured,Percentage of the population having health insurance,Derived from U.S. Census data,
primary_care,"Number of primary care physicians per 10,000 people",Medical association data,
natamen_scale,Natural Amenities Scale (NAS) designations,USDA Economic Research Service,
prime_farmland,Percentage of acres defined as prime farmland,National Agricultural Statistics Service,
foodbev_est_CBP,TBD,TBD,
est_CBP,TBD,TBD,
pc1b_manufacturing,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc2b_infrastructure,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc1c_artsdiversity,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc2c_creativeindustries,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc1f,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc1h_healtheducation,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc2h_medicalfoodsecurity,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
conserve_acre,"% of all acres under conservation easement, 2016",NCED (2016),
acre_FSA,"% of total acres in conservation programs and woodlands, 2017",USDA FSA (2017),
acre_NFS,"Percent of total acres in National Forests, 2017",USFS (2017),
pc1n_naturalamenitiesconservation,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc2n_farmland,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pvote,"% of eligible voters that voted, 2012","Rupasingha et al., (2006)",
nccs,"Number of nonprofit organizations per 1,000 population, 2014","Rupasingha et al., (2006)",6.923
assn,"Social establishments per 1,000 people, 2014","Rupasingha et al., (2006)",
respn,"% response rate to U.S. Population Census, 2010","Rupasingha et al., (2006)",
pc1s_nonprofitsocialindustries,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
pc2s_publicvoiceparticipation,Principal component derived from Schmit et al. 2021,Schmit et al. 2021,
